district,hiv_prev_male_perc,hiv_prev_female_perc,hiv_prev_total_perc,hiv_prev_male_prop,hiv_prev_female_prop,hiv_prev_total_prop
Gaborone,13.4,19.8,17,0.134,0.198,0.17
Francistown,20.7,27.5,24.3,0.207,0.275,0.243
Lobatse,13.4,20,17.2,0.134,0.2,0.172
Selebi Phikwe,25.4,29.3,27.5,0.254,0.293,0.275
Orapa,9.9,20.2,15.6,0.099,0.202,0.156
Jwaneng,8.5,16.7,12.8,0.085,0.167,0.128
Sowa,13.3,26.5,19.8,0.133,0.265,0.198
Southern,10.6,12.8,11.8,0.106,0.128,0.118
Barolong,8.9,25.7,20.3,0.089,0.257,0.203
Ngwaketse West,10.9,24.5,18.8,0.109,0.245,0.188
Southeast,19,14.6,16.6,0.19,0.146,0.166
Kweneng East,20.2,22.1,21.5,0.202,0.221,0.215
Kweneng West,7,16.1,11.8,0.07,0.161,0.118
Kgatleng,15.6,23.8,19.9,0.156,0.238,0.199
Central Serowe,16.4,17.8,17.1,0.164,0.178,0.171
Central Mahalapye,20.1,25.9,23.1,0.201,0.259,0.231
Central Bobonong,15.3,22,19.3,0.153,0.22,0.193
Central Boteti,15.5,25.5,20.3,0.155,0.255,0.203
Central Tutume,14.1,21.5,18.2,0.141,0.215,0.182
Northeast,13,20.4,17.7,0.13,0.204,0.177
Ngamiland South,13.3,17.2,15.2,0.133,0.172,0.152
Ngamiland North,10.6,15.4,13.5,0.106,0.154,0.135
Chobe,16.5,18.9,17.7,0.165,0.189,0.177
Ghanzi,14.6,19.9,17.1,0.146,0.199,0.171
Kgalagadi South,7.1,15,11.1,0.071,0.15,0.111
Kgalagadi North,18.2,18.1,18.1,0.182,0.181,0.181
