"curr_orig_dest","orig","dest","curr_travel_dist","curr_travel_time","curr_travel_dist_km","curr_travel_time_h","orig_intervention","dest_intervention","num_linked_pairs_observed","number_hosts_sampled_group_1","number_hosts_sampled_group_2","origin_district","destination_district","BTOTL_2011_origin","MTOTL_2011_origin","FTOTL_2011_origin","BTOTL_2011_destination","MTOTL_2011_destination","FTOTL_2011_destination","same_community","ln_curr_travel_dist_km","origin_control_community","number_hosts_sampled_group_1_female","number_hosts_sampled_group_1_male","number_hosts_sampled_group_1_f_baseline","number_hosts_sampled_group_1_m_baseline","number_hosts_sampled_group_1_f_post_baseline","number_hosts_sampled_group_1_m_post_baseline","number_hosts_sampled_group_2_female","number_hosts_sampled_group_2_male","number_hosts_sampled_group_2_f_baseline","number_hosts_sampled_group_2_m_baseline","number_hosts_sampled_group_2_f_post_baseline","number_hosts_sampled_group_2_m_post_baseline","num_linked_pairs_observed_baseline","max_possible_opposite_sex_pairs_in_sample_baseline","ln_max_possible_opposite_sex_pairs_in_sample_baseline","num_linked_pairs_observed_post_baseline","max_possible_opposite_sex_pairs_in_sample_post_baseline","ln_max_possible_opposite_sex_pairs_in_sample_post_baseline","max_possible_opposite_sex_pairs_in_sample_all","ln_max_possible_opposite_sex_pairs_in_sample_all","max_possible_opposite_sex_pairs_in_sample_post_baseline_all_x_pb","ln_max_possible_opposite_sex_pairs_in_sample_post_baseline_all_x_pb"
"Bokaa_Digawana","Bokaa","Digawana",27789,1706,27.789,0.473888888888889,"Control","Intervention",0,73,28,"Kgatleng","Barolong",6406,3225,3181,3273,1571,1702,0,3.32464025894,1,54,19,52,19,2,0,17,11,17,11,0,0,0,895,6.79682371827486,0,0,0,917,6.82110747225646,0,0
"Bokaa_Gumare","Bokaa","Gumare",998066,37443,998.066,10.4008333333333,"Control","Intervention",0,73,260,"Kgatleng","Ngamiland West",6406,3225,3181,8913,4205,4708,0,6.90581940638935,1,54,19,52,19,2,0,192,68,110,36,82,32,0,3962,8.2845042272585,0,64,4.15888308335967,7320,8.89836560695536,3286,8.09742629859721
"Bokaa_Gweta","Bokaa","Gweta",695418,27346,695.418,7.59611111111111,"Control","Intervention",0,73,131,"Kgatleng","Central Tutume",6406,3225,3181,7148,3546,3602,0,6.54451310362186,1,54,19,52,19,2,0,98,33,92,32,6,1,0,3412,8.13505390861157,0,2,0.693147180559945,3644,8.20083725837985,168,5.12396397940326
"Bokaa_Lentsweletau","Bokaa","Lentsweletau",37340,2110,37.34,0.586111111111111,"Control","Intervention",0,73,206,"Kgatleng","Kweneng East",6406,3225,3181,7420,3815,3605,0,3.62006513811358,1,54,19,52,19,2,0,128,78,52,20,76,58,0,2028,7.61480536471107,0,116,4.75359019110636,6644,8.80146947073318,4576,8.42858053305963
"Bokaa_Lerala","Bokaa","Lerala",315682,12097,315.682,3.36027777777778,"Control","Intervention",0,73,347,"Kgatleng","Serowe Palapye",6406,3225,3181,7413,3474,3939,0,5.75473537778389,1,54,19,52,19,2,0,244,103,75,30,169,73,0,2985,8.0013550258267,0,146,4.98360662170834,10198,9.2299469016151,7153,8.87528712810838
"Bokaa_Letlhakeng","Bokaa","Letlhakeng",127365,6647,127.365,1.84638888888889,"Control","Control",0,73,92,"Kgatleng","Kweneng West",6406,3225,3181,9809,4846,4963,0,4.84705698011944,1,54,19,52,19,2,0,68,24,59,24,9,0,0,2369,7.77022320415879,0,0,0,2588,7.85864065562079,171,5.14166355650266
"Bokaa_Masunga","Bokaa","Masunga",489858,20264,489.858,5.62888888888889,"Control","Intervention",0,73,182,"Kgatleng","North East",6406,3225,3181,5615,2522,3093,0,6.19411555318735,1,54,19,52,19,2,0,131,51,110,44,21,7,0,4378,8.38434727808281,0,14,2.63905732961526,5243,8.56464913257253,777,6.65544035036765
"Bokaa_Mathangwane","Bokaa","Mathangwane",436370,17365,436.37,4.82361111111111,"Control","Intervention",0,73,102,"Kgatleng","Central Tutume",6406,3225,3181,5947,2873,3074,0,6.07849050732461,1,54,19,52,19,2,0,79,23,50,12,29,11,0,1574,7.36137542897735,0,22,3.09104245335832,2743,7.9168074909376,1145,7.04315991598834
"Bokaa_Maunatlala","Bokaa","Maunatlala",331728,13295,331.728,3.69305555555556,"Control","Intervention",0,73,236,"Kgatleng","Serowe Palapye",6406,3225,3181,4921,2509,2412,0,5.80431535601715,1,54,19,52,19,2,0,155,81,58,27,97,54,0,2506,7.82644313545601,0,108,4.68213122712422,7319,8.89822898560123,4759,8.46779284112111
"Bokaa_Metsimotlhabe","Bokaa","Metsimotlhabe",30898,2416,30.898,0.671111111111111,"Control","Control",0,73,34,"Kgatleng","Kweneng East",6406,3225,3181,9154,4329,4825,0,3.43069145688986,1,54,19,52,19,2,0,25,9,24,9,1,0,0,924,6.82871207164168,0,0,0,961,6.86797440897029,19,2.94443897916644
